"exec","split","numthread","time"
"bimage_cuda","0.9","9","67.6573964757262"
"bimage_cuda","0.9","10","67.5059152058199"
"bimage_cuda","0.9","20","49.6446272102202"
"bimage_cuda","0.9","30","47.1775629800809"
"bimage_cuda","0.9","40","44.3527164560405"
"bimage_cuda","0.9","50","40.2508702573574"
"bimage_cuda","0.9","100","30.3294536907154"
"bimage_cuda","0.9","300","18.3996082110092"
"bimage_cuda","1","1","43.7476576774952"
"bimage_cuda","1","2","57.3004059733763"
"bimage_cuda","1","3","53.2878610252584"
"bimage_cuda","1","4","57.6850970551758"
"bimage_cuda","1","5","58.5600093696015"
"bimage_cuda","1","6","48.6601429635"
"bimage_cuda","1","7","43.4961321064524"
"bimage_cuda","1","8","60.0338590965304"
"bimage_cuda","1","9","57.3374221286136"
"bimage_cuda","1","10","55.8866841591988"
"bimage_cuda","1","20","43.4503015450927"
"bimage_cuda","1","30","40.0626044966267"
"bimage_cuda","1","40","42.031494198603"
"bimage_cuda","1","50","40.0107228737302"
"bimage_cuda","1","100","28.5778109492072"
"bimage_cuda","1","300","14.2073707839627"
