"exec","split","cudacores","numthread","time"
"bimage_cuda","0.2","256","100","24.7729763162089"
"bimage_cuda","0.2","256","300","15.4998828467188"
"bimage_cuda","0.2","512","1","12.7331438641526"
"bimage_cuda","0.2","512","2","24.2904358837751"
"bimage_cuda","0.2","512","3","29.1970234607816"
"bimage_cuda","0.2","512","4","27.0185928446661"
"bimage_cuda","0.2","512","5","27.4170656611306"
"bimage_cuda","0.2","512","6","29.7142970340179"
"bimage_cuda","0.2","512","7","29.4400213538288"
"bimage_cuda","0.2","512","8","31.4852704033735"
"bimage_cuda","0.2","512","9","31.7321971796423"
"bimage_cuda","0.2","512","10","36.2813546490323"
"bimage_cuda","0.2","512","20","35.0828979643148"
"bimage_cuda","0.2","512","30","29.1351521437645"
"bimage_cuda","0.2","512","40","27.8507441486747"
"bimage_cuda","0.2","512","50","31.5147567848645"
"bimage_cuda","0.2","512","100","25.5583215339082"
"bimage_cuda","0.2","512","300","15.3322811981258"
"bimage_cuda","0.3","1","1","11.4082885779834"
"bimage_cuda","0.3","1","2","17.7549987719459"
"bimage_cuda","0.3","1","3","21.7316503377461"
"bimage_cuda","0.3","1","4","23.1406845631579"
"bimage_cuda","0.3","1","5","23.2585905604235"
"bimage_cuda","0.3","1","6","23.4845608582824"
"bimage_cuda","0.3","1","7","24.0069235967653"
"bimage_cuda","0.3","1","8","24.0818977177586"
"bimage_cuda","0.3","1","9","25.3253035237627"
"bimage_cuda","0.3","1","10","24.4772076401524"
"bimage_cuda","0.3","1","20","24.5172452259816"
"bimage_cuda","0.3","1","30","23.111723999792"
"bimage_cuda","0.3","1","40","22.358126508242"
"bimage_cuda","0.3","1","50","21.7740557045667"
"bimage_cuda","0.3","1","100","15.0364784968333"
"bimage_cuda","0.3","1","300","10.8701303854023"
"bimage_cuda","0.3","64","1","12.8810039969755"
"bimage_cuda","0.3","64","2","23.5666285541913"
"bimage_cuda","0.3","64","3","39.6236545292809"
"bimage_cuda","0.3","64","4","32.4112512417561"
"bimage_cuda","0.3","64","5","29.5835523337971"
"bimage_cuda","0.3","64","6","30.8270433320335"
"bimage_cuda","0.3","64","7","36.9675745081464"
"bimage_cuda","0.3","64","8","34.1828142483085"
"bimage_cuda","0.3","64","9","35.8913926458536"
"bimage_cuda","0.3","64","10","35.0639742209662"
"bimage_cuda","0.3","64","20","35.6120705926205"
"bimage_cuda","0.3","64","30","33.1132041108939"
"bimage_cuda","0.3","64","40","29.42128335638"
"bimage_cuda","0.3","64","50","28.2449971048878"
